,Settlement Point Price
0,20.54
1,19.82
2,19.6
3,19.25
4,21.28
5,22.63
6,24.06
7,24.72
8,25.05
9,24.88
10,24.75
11,25.41
12,24.22
13,22.93
14,22.91
15,22.81
16,23.72
17,31.29
18,35.57
19,31.05
20,28.91
21,27.4
22,25.41
23,23.87
24,23.82
25,23.16
26,23.2
27,22.91
28,25.09
29,28.65
30,39.13
31,39.06
32,36.26
33,39.55
34,40.25
35,37.33
36,34.61
37,34.87
38,34.84
39,34.65
40,36.45
41,64.67
42,66.72
43,40.92
44,40.1
45,35.37
46,31.53
47,26.41
48,26.5
49,24.08
50,24.64
51,24.15
52,24.27
53,29.81
54,55.11
55,40.24
56,35.26
57,35.63
58,32.79
59,29.89
60,27.77
61,26.51
62,23.81
63,24.49
64,27.16
65,41.4
66,44.77
67,34.8
68,33.82
69,30.14
70,27.12
71,23.63
72,22.22
73,22.2
74,21.34
75,22.08
76,23.12
77,28.38
78,55.61
79,46.54
80,36.13
81,31.9
82,28.77
83,26.15
84,23.67
85,23.02
86,21.74
87,21.07
88,22.69
89,34.73
90,32.18
91,26.53
92,26.74
93,27.36
94,24.22
95,22.63
96,21.27
97,20.06
98,19.9
99,19.48
100,20.68
101,22.69
102,25.87
103,29.18
104,31.11
105,30.02
106,24.87
107,23.11
108,22.8
109,21.63
110,20.34
111,19.62
112,19.66
113,24.02
114,21.7
115,20.08
116,19.41
117,18.38
118,19.15
119,16.99
120,16.67
121,15.68
122,16.0
123,16.0
124,17.77
125,18.6
126,17.52
127,19.22
128,21.91
129,21.83
130,19.54
131,18.09
132,17.23
133,16.62
134,15.94
135,15.94
136,16.54
137,21.2
138,20.87
139,19.02
140,17.22
141,16.45
142,16.22
143,15.76
144,11.91
145,11.33
146,12.43
147,12.45
148,15.44
149,19.13
150,19.16
151,21.8
152,21.72
153,22.27
154,22.0
155,22.28
156,22.84
157,23.06
158,22.35
159,22.37
160,22.64
161,40.29
162,31.42
163,22.76
164,22.37
165,22.25
166,20.85
167,18.74
168,15.65
169,15.37
170,15.44
171,16.89
172,17.94
173,20.89
174,23.63
175,26.48
176,25.0
177,22.1
178,22.57
179,20.73
180,21.5
181,21.84
182,21.63
183,21.27
184,21.85
185,41.37
186,32.39
187,25.52
188,24.73
189,25.15
190,22.03
191,21.28
192,19.2
193,18.56
194,19.3
195,19.02
196,20.6
197,21.62
198,33.72
199,29.43
200,25.88
201,26.02
202,23.09
203,22.25
204,21.74
205,20.77
206,20.1
207,20.06
208,20.83
209,29.53
210,31.92
211,24.64
212,24.62
213,24.22
214,22.68
215,21.45
216,18.3
217,17.89
218,17.56
219,18.19
220,19.0
221,20.96
222,36.77
223,28.11
224,23.88
225,22.55
226,21.6
227,20.69
228,19.93
229,19.76
230,18.87
231,18.62
232,19.34
233,25.81
234,24.15
235,20.9
236,20.47
237,20.4
238,18.71
239,17.41
240,16.74
241,16.83
242,16.63
243,16.45
244,18.53
245,19.32
246,23.07
247,22.33
248,21.22
249,20.71
250,20.38
251,19.64
252,18.59
253,18.53
254,18.24
255,19.24
256,19.79
257,28.75
258,28.79
259,24.33
260,22.21
261,22.12
262,19.77
263,19.45
264,19.91
265,18.94
266,18.07
267,17.57
268,18.46
269,18.12
270,19.37
271,20.14
272,20.93
273,21.17
274,20.1
275,20.12
276,20.16
277,20.45
278,20.92
279,20.76
280,21.47
281,30.28
282,37.64
283,30.2
284,28.27
285,26.65
286,22.48
287,21.57
288,22.95
289,21.87
290,22.39
291,22.07
292,23.79
293,24.94
294,26.24
295,29.41
296,36.02
297,33.29
298,31.17
299,27.22
300,26.5
301,23.76
302,22.0
303,21.78
304,23.47
305,38.88
306,52.27
307,40.27
308,34.09
309,31.56
310,26.68
311,25.71
312,23.59
313,22.85
314,22.1
315,23.94
316,25.27
317,31.07
318,65.92
319,50.33
320,32.73
321,30.25
322,27.82
323,27.01
324,25.17
325,24.23
326,22.79
327,22.04
328,23.94
329,33.45
330,36.13
331,28.65
332,26.69
333,24.3
334,22.36
335,21.76
336,20.81
337,20.57
338,20.76
339,20.58
340,22.13
341,25.52
342,39.75
343,34.26
344,30.17
345,32.67
346,30.87
347,29.14
348,27.74
349,23.73
350,22.39
351,22.51
352,23.53
353,36.92
354,35.36
355,27.53
356,25.53
357,23.41
358,23.48
359,21.71
360,21.91
361,21.56
362,21.59
363,21.38
364,22.61
365,23.21
366,39.74
367,34.3
368,32.66
369,30.61
370,27.94
371,25.55
372,25.23
373,24.13
374,23.37
375,22.93
376,22.87
377,33.46
378,31.66
379,25.6
380,24.81
381,23.38
382,21.94
383,20.35
384,18.95
385,17.74
386,18.21
387,18.07
388,22.97
389,23.27
390,29.89
391,27.19
392,27.69
393,30.75
394,31.16
395,32.87
396,30.42
397,29.07
398,27.39
399,27.44
400,27.81
401,43.3
402,37.32
403,28.45
404,28.35
405,26.27
406,23.95
407,21.5
408,16.93
409,15.36
410,15.23
411,14.31
412,15.6
413,21.39
414,30.05
415,27.73
416,24.37
417,24.35
418,23.54
419,22.29
420,19.87
421,18.93
422,18.82
423,18.17
424,18.91
425,27.18
426,22.97
427,19.1
428,18.58
429,17.71
430,14.52
431,12.65
432,11.27
433,11.12
434,11.34
435,11.38
436,12.75
437,13.6
438,17.16
439,19.99
440,24.69
441,22.04
442,21.48
443,21.88
444,21.58
445,21.7
446,22.31
447,22.4
448,22.87
449,35.21
450,52.8
451,44.31
452,39.03
453,34.83
454,31.78
455,28.46
456,24.83
457,24.51
458,22.95
459,23.3
460,23.88
461,26.25
462,39.52
463,44.76
464,50.6
465,36.56
466,28.99
467,26.81
468,25.23
469,23.78
470,22.31
471,20.4
472,20.12
473,24.51
474,29.6
475,26.25
476,25.57
477,23.21
478,19.3
479,18.63
480,16.75
481,17.02
482,16.42
483,16.71
484,17.85
485,18.34
486,33.34
487,29.05
488,23.71
489,20.19
490,18.69
491,16.84
492,16.25
493,17.68
494,16.96
495,16.43
496,18.04
497,23.14
498,22.05
499,19.97
500,19.24
501,16.53
502,13.94
503,11.62
504,6.82
505,6.29
506,5.67
507,5.59
508,7.25
509,13.8
510,23.17
511,21.93
512,20.46
513,21.28
514,21.1
515,19.91
516,20.41
517,19.23
518,18.5
519,19.08
520,19.07
521,24.56
522,26.18
523,21.73
524,21.66
525,21.98
526,18.76
527,17.59
528,16.78
529,18.19
530,18.91
531,20.37
532,22.9
533,21.93
534,35.04
535,33.69
536,33.17
537,29.8
538,28.34
539,25.09
540,24.35
541,20.99
542,20.51
543,20.92
544,21.68
545,32.58
546,49.92
547,39.5
548,34.52
549,27.58
550,25.1
551,23.54
552,20.96
553,20.3
554,19.74
555,20.29
556,21.88
557,29.33
558,75.44
559,48.09
560,30.99
561,27.15
562,24.47
563,22.0
564,20.45
565,20.12
566,19.9
567,19.26
568,19.39
569,28.23
570,32.24
571,23.11
572,23.35
573,25.94
574,22.74
575,21.43
576,22.57
577,23.0
578,23.63
579,27.07
580,24.09
581,30.76
582,65.09
583,51.68
584,36.33
585,33.23
586,27.87
587,27.13
588,25.87
589,23.86
590,21.91
591,21.55
592,22.86
593,31.88
594,42.83
595,34.75
596,29.63
597,28.51
598,23.78
599,23.52
600,22.74
601,20.92
602,20.77
603,20.76
604,21.72
605,23.13
606,27.37
607,31.31
608,33.41
609,37.11
610,31.3
611,26.59
612,23.73
613,22.06
614,21.58
615,20.01
616,20.53
617,26.56
618,35.36
619,26.55
620,26.3
621,26.39
622,23.43
623,22.5
624,24.5
625,23.63
626,21.34
627,21.09
628,21.22
629,22.15
630,26.44
631,28.4
632,33.78
633,37.63
634,30.02
635,28.2
636,22.49
637,21.24
638,20.06
639,19.61
640,19.72
641,26.12
642,36.17
643,24.29
644,23.2
645,21.11
646,21.16
647,18.01
648,13.8
649,11.46
650,9.05
651,9.93
652,12.76
653,17.88
654,28.85
655,28.92
656,23.22
657,21.56
658,18.1
659,15.96
660,14.14
661,14.15
662,13.45
663,14.82
664,14.53
665,18.56
666,22.43
667,20.3
668,20.64
669,26.5
670,29.32
671,27.85
672,27.4
673,24.52
674,24.15
675,27.02
676,29.6
677,32.54
678,70.11
679,55.72
680,39.19
681,35.08
682,32.41
683,28.87
684,26.07
685,21.91
686,20.62
687,20.57
688,21.08
689,26.14
690,39.64
691,27.08
692,25.64
693,24.43
694,22.87
695,22.22
696,21.07
697,21.04
698,20.56
699,21.53
700,22.12
701,28.11
702,55.53
703,46.92
704,35.12
705,30.06
706,24.45
707,23.14
708,22.04
709,20.92
710,19.67
711,19.33
712,19.86
713,25.47
714,30.98
715,23.58
716,22.56
717,20.93
718,18.76
719,19.13
720,17.82
721,17.21
722,17.04
723,14.81
724,19.66
725,19.91
726,32.96
727,31.22
728,22.22
729,21.23
730,19.71
731,18.95
732,18.98
733,19.23
734,19.15
735,19.22
736,19.69
737,27.98
738,31.64
739,22.26
740,22.2
741,20.7
742,20.38
743,19.29
744,21.82
745,21.21
746,21.15
747,21.62
748,21.59
749,22.27
750,41.23
751,32.24
752,31.09
753,30.3
754,25.87
755,24.13
756,22.88
757,21.88
758,21.74
759,21.37
760,21.35
761,27.32
762,27.57
763,21.94
764,21.41
765,20.69
766,19.63
767,18.42
768,18.5
769,17.55
770,16.98
771,16.6
772,17.51
773,18.73
774,19.71
775,20.32
776,24.71
777,25.56
778,29.23
779,25.49
780,21.57
781,20.4
782,20.36
783,20.21
784,20.49
785,28.45
786,29.56
787,20.66
788,18.8
789,17.24
790,16.65
791,14.6
792,11.37
793,6.56
794,5.22
795,6.02
796,7.11
797,9.74
798,14.78
799,14.28
800,18.53
801,18.92
802,15.86
803,16.26
804,15.55
805,15.63
806,15.57
807,16.1
808,17.83
809,21.21
810,27.69
811,19.16
812,17.43
813,15.62
814,11.93
815,9.65
816,6.29
817,5.26
818,5.98
819,7.63
820,10.61
821,17.38
822,21.98
823,21.86
824,23.02
825,23.8
826,23.73
827,26.2
828,24.11
829,25.39
830,23.65
831,22.75
832,22.53
833,30.65
834,35.06
835,22.5
836,20.73
837,18.93
838,17.53
839,15.02
840,9.9
841,6.63
842,6.73
843,7.67
844,11.32
845,16.05
846,18.92
847,18.76
848,17.82
849,17.93
850,18.49
851,19.14
852,18.71
853,18.08
854,17.33
855,19.0
856,20.34
857,29.74
858,36.47
859,22.02
860,19.93
861,19.0
862,17.46
863,12.84
864,9.45
865,6.82
866,6.65
867,8.67
868,11.66
869,15.65
870,19.85
871,20.27
872,20.74
873,21.74
874,22.9
875,21.34
876,21.2
877,19.58
878,18.02
879,17.78
880,18.87
881,24.13
882,32.94
883,21.4
884,20.5
885,18.06
886,16.88
887,12.81
888,7.77
889,5.62
890,4.85
891,5.12
892,5.78
893,11.97
894,19.01
895,18.69
896,19.0
897,19.06
898,19.25
899,19.49
900,20.98
901,21.48
902,20.03
903,20.52
904,20.23
905,24.68
906,40.88
907,30.77
908,22.42
909,22.2
910,21.45
911,19.47
912,19.4
913,19.09
914,19.46
915,20.69
916,22.42
917,24.83
918,54.6
919,49.37
920,41.3
921,39.81
922,35.04
923,30.78
924,25.1
925,22.34
926,20.46
927,20.29
928,21.95
929,25.84
930,44.91
931,28.32
932,27.4
933,23.9
934,23.33
935,22.94
936,23.13
937,21.91
938,20.95
939,20.91
940,21.66
941,23.06
942,26.32
943,29.16
944,40.57
945,45.96
946,41.2
947,30.36
948,24.46
949,20.94
950,20.79
951,19.89
952,20.02
953,26.0
954,38.94
955,24.75
956,24.65
957,21.55
958,21.99
959,20.25
960,18.61
961,19.12
962,16.88
963,17.84
964,17.95
965,19.46
966,21.47
967,23.46
968,29.74
969,34.31
970,31.16
971,25.98
972,23.75
973,20.88
974,20.25
975,20.39
976,20.3
977,23.19
978,31.26
979,21.49
980,19.95
981,18.55
982,18.68
983,17.25
984,17.13
985,14.25
986,15.42
987,15.02
988,16.36
989,17.36
990,24.46
991,23.97
992,23.52
993,22.59
994,20.45
995,19.36
996,17.22
997,17.02
998,15.69
999,15.48
1000,15.38
1001,18.4
1002,31.4
1003,22.91
1004,23.15
1005,17.04
1006,17.36
1007,15.37
1008,13.84
1009,15.41
1010,16.25
1011,17.07
1012,17.47
1013,18.43
1014,28.09
1015,25.99
1016,26.07
1017,26.08
1018,24.1
1019,23.53
1020,22.11
1021,21.69
1022,20.64
1023,19.99
1024,20.88
1025,25.69
1026,46.46
1027,27.3
1028,23.25
1029,21.49
1030,18.99
1031,19.67
1032,14.91
1033,13.71
1034,15.68
1035,14.03
1036,15.94
1037,16.73
1038,36.93
1039,30.29
1040,22.61
1041,20.8
1042,18.94
1043,16.92
1044,15.67
1045,15.51
1046,15.04
1047,16.63
1048,14.42
1049,15.94
1050,26.53
1051,21.23
1052,19.9
1053,16.28
1054,15.58
1055,14.34
1056,11.32
1057,9.78
1058,9.28
1059,10.35
1060,9.77
1061,14.47
1062,19.39
1063,19.79
1064,18.88
1065,19.31
1066,19.2
1067,19.71
1068,19.06
1069,18.44
1070,19.17
1071,19.81
1072,20.88
1073,27.44
1074,45.85
1075,25.79
1076,22.62
1077,19.93
1078,18.98
1079,18.24
1080,16.45
1081,14.93
1082,14.06
1083,15.4
1084,16.73
1085,17.3
1086,20.22
1087,19.22
1088,18.32
1089,18.15
1090,17.12
1091,18.43
1092,19.4
1093,20.18
1094,21.4
1095,22.68
1096,25.87
1097,34.94
1098,56.86
1099,29.02
1100,23.52
1101,22.96
1102,21.34
1103,20.25
1104,19.43
1105,19.24
1106,18.94
1107,19.79
1108,19.65
1109,20.98
1110,22.87
1111,24.69
1112,33.77
1113,34.64
1114,26.69
1115,22.07
1116,19.23
1117,18.75
1118,16.44
1119,15.63
1120,15.4
1121,18.18
1122,22.74
1123,19.04
1124,18.06
1125,17.8
1126,17.45
1127,16.55
1128,15.71
1129,16.6
1130,16.81
1131,17.36
1132,17.38
1133,17.44
1134,19.91
1135,21.92
1136,23.04
1137,22.77
1138,22.95
1139,24.15
1140,23.06
1141,21.08
1142,19.49
1143,19.28
1144,19.28
1145,24.0
1146,39.26
1147,22.79
1148,20.42
1149,19.14
1150,18.01
1151,17.52
1152,15.23
1153,15.22
1154,14.63
1155,15.42
1156,17.06
1157,19.28
1158,31.78
1159,31.09
1160,28.66
1161,27.8
1162,24.13
1163,23.57
1164,21.48
1165,20.06
1166,19.26
1167,18.76
1168,18.19
1169,21.97
1170,28.15
1171,22.23
1172,21.35
1173,20.97
1174,19.83
1175,18.64
1176,17.64
1177,18.11
1178,19.02
1179,19.02
1180,20.1
1181,22.31
1182,31.39
1183,30.18
1184,28.64
1185,28.85
1186,30.9
1187,27.73
1188,26.57
1189,27.15
1190,27.17
1191,27.68
1192,29.76
1193,33.64
1194,55.52
1195,39.9
1196,36.51
1197,31.32
1198,26.19
1199,23.82
1200,22.88
1201,20.47
1202,18.78
1203,17.8
1204,19.29
1205,21.54
1206,44.4
1207,29.03
1208,25.27
1209,22.86
1210,21.72
1211,19.81
1212,19.53
1213,18.9
1214,18.57
1215,18.88
1216,19.38
1217,22.91
1218,39.07
1219,26.87
1220,25.21
1221,23.79
1222,20.6
1223,18.7
1224,14.69
1225,16.67
1226,16.57
1227,14.72
1228,16.53
1229,18.33
1230,36.75
1231,29.09
1232,23.14
1233,21.98
1234,19.87
1235,18.47
1236,17.19
1237,16.55
1238,16.38
1239,16.84
1240,18.16
1241,20.71
1242,25.03
1243,21.45
1244,20.87
1245,19.58
1246,18.79
1247,17.56
1248,18.8
1249,18.55
1250,19.41
1251,19.06
1252,19.2
1253,21.26
1254,40.93
1255,33.57
1256,30.71
1257,31.16
1258,29.14
1259,25.91
1260,22.55
1261,22.37
1262,21.13
1263,20.14
1264,19.99
1265,20.99
1266,23.25
1267,20.34
1268,19.38
1269,18.21
1270,16.39
1271,15.07
1272,12.45
1273,6.48
1274,6.53
1275,7.46
1276,9.94
1277,13.35
1278,16.67
1279,18.25
1280,17.35
1281,17.11
1282,16.14
1283,14.99
1284,14.59
1285,13.39
1286,13.3
1287,14.37
1288,13.95
1289,17.15
1290,22.99
1291,24.97
1292,28.53
1293,31.17
1294,23.46
1295,20.83
1296,21.78
1297,20.91
1298,21.08
1299,20.93
1300,20.92
1301,22.11
1302,24.96
1303,28.6
1304,39.13
1305,36.3
1306,27.22
1307,22.96
1308,22.13
1309,20.86
1310,19.94
1311,18.93
1312,18.99
1313,20.7
1314,24.64
1315,19.74
1316,19.5
1317,17.79
1318,17.59
1319,16.32
1320,11.57
1321,13.69
1322,12.54
1323,13.7
1324,16.03
1325,17.18
1326,31.1
1327,29.66
1328,24.72
1329,19.86
1330,17.74
1331,15.82
1332,15.9
1333,16.16
1334,15.95
1335,16.34
1336,16.77
1337,19.9
1338,26.29
1339,20.2
1340,18.81
1341,17.26
1342,15.87
1343,15.91
1344,15.28
1345,10.82
1346,11.17
1347,13.81
1348,17.16
1349,17.51
1350,22.19
1351,21.14
1352,21.78
1353,22.23
1354,22.54
1355,22.48
1356,23.54
1357,23.02
1358,22.75
1359,22.12
1360,22.02
1361,24.74
1362,41.33
1363,22.43
1364,21.2
1365,19.75
1366,19.29
1367,16.83
1368,15.82
1369,14.21
1370,15.63
1371,15.73
1372,18.46
1373,19.03
1374,23.82
1375,21.87
1376,21.9
1377,23.14
1378,23.51
1379,24.2
1380,24.3
1381,23.79
1382,22.93
1383,23.49
1384,23.29
1385,23.65
1386,38.66
1387,26.24
1388,22.86
1389,22.9
1390,21.17
1391,19.99
1392,19.62
1393,19.32
1394,20.09
1395,19.94
1396,19.9
1397,22.73
1398,41.94
1399,31.99
1400,32.37
1401,35.03
1402,34.87
1403,32.54
1404,28.28
1405,26.21
1406,24.45
1407,23.62
1408,24.79
1409,28.3
1410,41.97
1411,27.3
1412,25.13
1413,23.57
1414,21.15
1415,19.61
1416,19.52
1417,19.48
1418,19.35
1419,18.64
1420,19.38
1421,22.17
1422,40.68
1423,29.83
1424,27.48
1425,36.55
1426,28.05
1427,25.6
1428,25.42
1429,25.28
1430,22.95
1431,23.29
1432,23.09
1433,24.86
1434,42.27
1435,26.42
1436,26.27
1437,25.94
1438,20.81
1439,20.71
1440,20.59
1441,19.4
1442,18.57
1443,18.9
1444,19.68
1445,20.38
1446,22.13
1447,24.42
1448,27.75
1449,34.17
1450,30.81
1451,28.74
1452,26.1
1453,23.72
1454,23.08
1455,23.49
1456,21.23
1457,23.56
1458,29.2
1459,24.38
1460,24.19
1461,24.02
1462,22.53
1463,21.57
1464,23.24
1465,22.1
1466,21.84
1467,19.98
1468,21.61
1469,17.35
1470,20.61
1471,21.02
1472,21.08
1473,21.36
1474,20.81
1475,21.2
1476,22.74
1477,22.2
1478,22.5
1479,22.49
1480,22.52
1481,24.25
1482,28.96
1483,30.13
1484,30.47
1485,30.71
1486,23.92
1487,23.36
1488,21.24
1489,21.62
1490,22.15
1491,22.84
1492,27.28
1493,34.65
1494,69.34
1495,65.94
1496,59.78
1497,61.4
1498,55.25
1499,50.99
1500,43.04
1501,39.9
1502,37.23
1503,38.67
1504,42.19
1505,89.7
1506,167.35
1507,118.65
1508,97.39
1509,60.07
1510,39.53
1511,33.27
1512,32.88
1513,33.75
1514,35.38
1515,34.51
1516,41.08
1517,75.19
1518,674.86
1519,569.54
1520,217.4
1521,81.03
1522,50.13
1523,43.74
1524,36.73
1525,32.62
1526,30.85
1527,30.78
1528,33.08
1529,36.71
1530,54.76
1531,50.47
1532,44.08
1533,39.32
1534,33.91
1535,32.25
1536,26.22
1537,25.9
1538,25.94
1539,25.45
1540,28.48
1541,37.14
1542,96.76
1543,52.86
1544,36.08
1545,32.51
1546,29.18
1547,25.05
1548,22.72
1549,20.57
1550,19.5
1551,18.68
1552,19.07
1553,21.41
1554,30.99
1555,28.1
1556,22.92
1557,21.44
1558,20.17
1559,20.87
1560,14.06
1561,13.8
1562,13.28
1563,13.71
1564,15.13
1565,18.48
1566,31.33
1567,31.78
1568,28.63
1569,27.35
1570,24.73
1571,22.95
1572,21.74
1573,18.82
1574,18.89
1575,18.0
1576,17.99
1577,18.15
1578,22.01
1579,18.28
1580,17.39
1581,16.43
1582,12.58
1583,11.26
1584,10.15
1585,10.53
1586,10.77
1587,12.69
1588,15.14
1589,19.38
1590,25.0
1591,22.67
1592,23.91
1593,29.02
1594,34.8
1595,34.29
1596,28.25
1597,26.79
1598,24.05
1599,25.82
1600,22.97
1601,23.26
1602,22.67
1603,21.08
1604,17.52
1605,16.22
1606,13.06
1607,10.7
1608,11.65
1609,10.93
1610,10.75
1611,9.63
1612,8.44
1613,11.3
1614,11.1
1615,12.83
1616,18.91
1617,20.34
1618,22.97
1619,25.31
1620,28.75
1621,27.05
1622,29.02
1623,32.3
1624,36.12
1625,36.89
1626,45.44
1627,44.98
1628,30.97
1629,29.46
1630,27.52
1631,22.72
1632,25.52
1633,20.35
1634,18.84
1635,19.24
1636,19.29
1637,21.48
1638,22.25
1639,26.3
1640,26.37
1641,27.42
1642,28.27
1643,28.59
1644,28.49
1645,25.1
1646,25.14
1647,28.47
1648,27.86
1649,33.55
1650,44.94
1651,33.03
1652,28.36
1653,24.54
1654,22.52
1655,18.63
1656,18.46
1657,18.96
1658,18.31
1659,19.13
1660,22.23
1661,32.58
1662,36.02
1663,29.29
1664,31.7
1665,37.15
1666,38.24
1667,30.8
1668,30.6
1669,28.34
1670,28.39
1671,29.6
1672,30.15
1673,43.78
1674,46.24
1675,32.91
1676,27.48
1677,22.08
1678,21.14
1679,20.48
1680,19.82
1681,18.46
1682,18.0
1683,18.17
1684,19.55
1685,30.31
1686,31.01
1687,27.11
1688,34.6
1689,25.98
1690,23.18
1691,22.35
1692,20.43
1693,18.78
1694,17.99
1695,16.28
1696,17.1
1697,20.54
1698,19.17
1699,17.6
1700,15.51
1701,14.91
1702,12.71
1703,8.48
1704,7.87
1705,8.01
1706,7.7
1707,8.11
1708,10.44
1709,16.3
1710,17.72
1711,17.56
1712,18.07
1713,18.33
1714,18.38
1715,18.11
1716,23.18
1717,22.06
1718,22.12
1719,22.5
1720,21.26
1721,30.55
1722,24.53
1723,22.7
1724,16.37
1725,14.93
1726,10.48
1727,11.45
1728,10.3
1729,9.11
1730,9.23
1731,12.65
1732,15.47
1733,20.47
1734,22.97
1735,23.01
1736,22.14
1737,22.25
1738,22.69
1739,20.86
1740,21.65
1741,22.09
1742,22.29
1743,23.56
1744,25.4
1745,32.86
1746,44.7
1747,35.25
1748,23.64
1749,19.72
1750,16.41
1751,16.98
1752,15.56
1753,15.21
1754,14.2
1755,16.3
1756,19.13
1757,29.94
1758,31.87
1759,29.96
1760,31.0
1761,27.51
1762,25.08
1763,24.17
1764,24.67
1765,23.97
1766,24.56
1767,24.82
1768,28.15
1769,34.18
1770,44.79
1771,45.51
1772,33.41
1773,25.66
1774,22.81
1775,26.1
1776,24.09
1777,23.24
1778,22.28
1779,22.27
1780,25.03
1781,31.82
1782,35.04
1783,47.79
1784,57.24
1785,47.0
1786,36.66
1787,31.21
1788,25.97
1789,24.98
1790,24.69
1791,24.02
1792,26.06
1793,31.17
1794,40.5
1795,37.95
1796,31.95
1797,28.95
1798,25.6
1799,23.94
1800,23.23
1801,21.66
1802,21.63
1803,22.3
1804,22.85
1805,27.13
1806,32.7
1807,43.59
1808,48.17
1809,35.69
1810,29.99
1811,25.43
1812,23.44
1813,22.62
1814,22.54
1815,22.46
1816,24.79
1817,28.08
1818,38.82
1819,36.27
1820,28.05
1821,24.93
1822,21.42
1823,21.37
1824,20.13
1825,20.63
1826,21.5
1827,23.39
1828,34.01
1829,81.8
1830,76.09
1831,49.86
1832,48.85
1833,43.35
1834,38.68
1835,29.97
