name,typ,node,maxcap,losscap,heat_rate,mincap,var_om,no_load,st_cost,ramp,minup,mindn
ODESSA,ngcc,bus_5262,95.5,95.5,4.770346495,28.65,3,286.5,6685.0,95.5,4,4
WICHITAFALLS,coal,bus_5262,806.0,806.0,6.2099920678,241.8,4,2418.0,56420.0,265.98,12,12
SILVER,ngcc,bus_5262,537.7,537.7,4.942829919,161.31,3,1613.1000000000001,37639.0,537.7,4,4
ALEDO,ngcc,bus_5262,4.8,4.8,4.579868081,1.44,3,14.399999999999999,336.0,4.8,4,4
GRAHAM,ngcc,bus_5262,634.7,634.7,5.230857471,190.4,3,1904.1000000000001,44429.0,634.7,4,4
GRANBURY,ngcc,bus_5262,1146.0000000000002,1146.0000000000002,4.911661257142858,343.8,3,3438.000000000001,80220.00000000001,1146.0000000000002,4,4
PALOPINTO,ngcc,bus_5262,603.6,603.6,4.8213363924,181.08,3,1810.8000000000002,42252.0,603.6,4,4
MONAHANS,ngcc,bus_1001,1097.4,1097.4,4.950756558333333,329.22,3,3292.2000000000003,76818.0,1097.4,4,4
ODESSA_2,ngcc,bus_1001,1630.28,1630.28,4.946727549444445,489.0899999999999,3,4890.84,114119.59999999999,1630.28,4,4
SAVOY,ngcc,bus_5084,1175.4,1175.4,5.384615385,352.62,3,3526.2000000000003,82278.0,1175.4,4,4
SHERMAN,ngcc,bus_5084,803.19,803.19,5.126969416,240.96,3,2409.57,56223.3,803.19,4,4
PARIS,ngcc,bus_2001,1358.3200000000002,1358.3200000000002,4.92247794925,407.4599999999999,3,4074.9600000000005,95082.40000000001,1358.3200000000002,4,4
DENTON,ngcc,bus_5007,128.1,128.1,4.7031832520000005,38.43,3,384.29999999999995,8967.0,128.1,4,4
POOLVILLE,ngcc,bus_5007,746.01,746.01,5.087467737,223.8,3,2238.0299999999997,52220.7,746.01,4,4
BRIDGEPORT,ngcc,bus_5007,1290.38,1290.38,4.952681388,387.12,3,3871.1400000000003,90326.6,1290.38,4,4
BASTROP,ngcc,bus_6018,1233.99,1233.99,5.0825282914,370.2,3,3701.9700000000003,86379.3,1233.99,4,4
MARION,ngcc,bus_6018,1088.22,1088.22,4.946177201,326.4599999999999,3,3264.66,76175.40000000001,1088.22,4,4
ROCKDALE,coal,bus_6018,1252.1,1252.1,9.0,375.63,4,3756.2999999999997,87647.0,413.193,12,12
CEDARCREEK,ngcc,bus_6018,618.6899999999999,618.6899999999999,4.998619928,185.64,3,1856.0699999999997,43308.299999999996,618.6899999999999,4,4
NEWBRAUNFELS,ngcc,bus_6018,992.2,992.2,4.9831631248,297.68,3,2976.6000000000004,69454.0,992.2,4,4
MISSION,ngcc,bus_4040,528.99,528.99,4.937190083,158.7,3,1586.97,37029.3,528.99,4,4
LAREDO,ngcc,bus_4040,263.6,263.6,4.844628099,79.08,3,790.8000000000001,18452.0,263.6,4,4
CHRISTINE,coal,bus_6199,410.0,410.0,8.660130719,123.0,4,1230.0,28700.0,135.3,12,12
PEARSALL,ngcc,bus_6199,267.6,267.6,4.663911845833334,80.28,3,802.8000000000001,18732.0,267.6,4,4
SANANTONIO,ngcc,bus_6199,247.0,247.0,4.643812922285714,74.1,3,741.0,17290.0,247.0,4,4
FANNIN,coal,bus_7098,622.4,622.4,8.991596639,186.72,4,1867.1999999999998,43568.0,205.392,12,12
NURSERY,ngcc,bus_7098,215.2,215.2,4.6603930254,64.56,3,645.5999999999999,15064.0,215.2,4,4
VICTORIA,ngcc,bus_7098,479.3,479.3,4.902666297333333,143.78,3,1437.9,33551.0,479.3,4,4
POINTCOMFORT,ngcc,bus_7098,1062.5,1062.5,4.84742596175,318.75,3,3187.5,74375.0,1062.5,4,4
WHARTON,ngcc,bus_7098,580.09,580.09,4.8120675338,174.01,3,1740.27,40606.3,580.09,4,4
CORPUSCHRISTI,ngcc,bus_4071,730.2,730.2,5.076114033,219.06,3,2190.6000000000004,51114.0,730.2,4,4
SANTAROSA,coal,bus_4071,200.5,200.5,8.053221288777777,60.14999999999999,4,601.5,14035.0,66.165,12,12
BROWNSVILLE,ngcc,bus_4071,1522.71,1522.71,4.8870744534,456.81,3,4568.13,106589.7,1522.71,4,4
BISHOP,ngcc,bus_4017,44.2,44.2,4.663714365,13.26,3,132.60000000000002,3094.0,44.2,4,4
GREGORY,ngcc,bus_4017,948.99,948.99,4.9003598115,284.7,3,2846.9700000000003,66429.3,948.99,4,4
CORPUSCHRISTI_3,ngcc,bus_4017,1001.31,1001.31,4.9174278068333335,300.39,3,3003.93,70091.7,1001.31,4,4
DALLAS,ngcc,bus_5385,1861.42,1861.42,5.053905307499999,558.4200000000001,3,5584.26,130299.40000000001,1861.42,4,4
ENNIS,ngcc,bus_5385,418.0,418.0,5.006031363,125.4,3,1254.0,29260.0,418.0,4,4
MIDLOTHIAN,ngcc,bus_5385,2016.6,2016.6,5.093710692,604.98,3,6049.799999999999,141162.0,2016.6,4,4
GREENVILLE,ngcc,bus_5103,84.7,84.7,4.746416759,25.41,3,254.10000000000002,5929.0,84.7,4,4
MCKINNEY,ngcc,bus_5103,1358.4,1358.4,4.9744054182857145,407.53,3,4075.2000000000003,95088.0,1358.4,4,4
MTENTERPRISE,ngcc,bus_5103,939.6,939.6,5.057297949,281.88,3,2818.8,65772.0,939.6,4,4
MOUNTPLEASANT,coal,bus_5103,1980.0,1980.0,9.052831985,594.0,4,5940.0,138600.0,653.4,12,12
ARLINGTON,ngcc,bus_5323,1327.21,1327.21,5.121881273600001,398.16,3,3981.63,92904.7,1327.21,4,4
IRVING,coal,bus_5323,16.5,16.5,8.029897367,4.95,4,49.5,1155.0,5.445,12,12
DALLAS_4,ngcc,bus_5323,852.21,852.21,5.159831122,255.66,3,2556.63,59654.700000000004,852.21,4,4
TEMPLE,ngcc,bus_5011,803.19,803.19,5.127044025,240.96,3,2409.57,56223.3,803.19,4,4
RIESEL,coal,bus_5011,1008.0,1008.0,9.60068699,302.4,4,3024.0,70560.0,332.64000000000004,12,12
FRANKLIN,coal,bus_5011,1795.4,1795.4,9.424645771,538.62,4,5386.200000000001,125678.0,592.4820000000001,12,12
BREMOND,coal,bus_5011,349.2,349.2,8.291112065,104.76,4,1047.6,24444.0,115.236,12,12
LEWSIVILLE,ngcc,bus_5465,15.6,15.6,4.587037568,4.68,3,46.8,1092.0,15.6,4,4
LAGRANGE,coal,bus_6005,1689.9900000000002,1689.9900000000002,8.902050114,507.0,4,5069.970000000001,118299.30000000002,557.6967000000001,12,12
WINCHESTER,ngcc,bus_6005,242.0,242.0,4.739166436666667,72.6,3,726.0,16940.0,242.0,4,4
SANANTONIO_5,ngcc,bus_6147,3276.4,3276.4,5.704727921500001,982.92,3,9829.2,229348.0,3276.4,4,4
SEGUIN,ngcc,bus_6147,940.2,940.2,5.059343086,282.08,3,2820.6000000000004,65814.0,940.2,4,4
ELMENDORF,ngcc,bus_6147,1687.9899999999998,1687.9899999999998,5.008548914625,506.4,3,5063.969999999999,118159.29999999999,1687.9899999999998,4,4
PASADENA,ngcc,bus_7127,1273.2,1273.2,5.899402357428571,381.96,3,3819.6000000000004,89124.0,1273.2,4,4
BAYTOWN,ngcc,bus_7127,1091.9,1091.9,2.0183262064000003,327.55000000000007,3,3275.7000000000003,76433.0,1091.9,4,4
DEERPARK,ngcc,bus_7127,1428.0,1428.0,4.900902735555556,428.4,3,4284.0,99960.0,1428.0,4,4
LAPORTE,ngcc,bus_7127,1459.2,1459.2,4.874465485499999,437.7799999999999,3,4377.6,102144.0,1459.2,4,4
HOUSTON,ngcc,bus_7127,1914.8,1914.8,4.8194105070625,574.4200000000001,3,5744.4,134036.0,1914.8,4,4
MONTBELVIEU,ngcc,bus_7127,40.7,40.7,4.61362248,12.21,3,122.10000000000001,2849.0,40.7,4,4
FREEPORT,ngcc,bus_7127,1528.74,1528.74,4.7829362654,458.6300000000001,3,4586.22,107011.8,1528.74,4,4
CHANNELVIEW,ngcc,bus_7127,1561.92,1561.92,4.864497139818183,468.5800000000001,3,4685.76,109334.40000000001,1561.92,4,4
ALVIN,ngcc,bus_7127,1508.9,1508.9,4.856167046181818,452.67,3,4526.700000000001,105623.0,1508.9,4,4
HOUSTON_6,ngcc,bus_7004,4.0,4.0,4.578497251,1.2,3,12.0,280.0,4.0,4,4
LAPORTE_7,ngcc,bus_7004,176.4,176.4,4.75565058,52.92,3,529.2,12348.0,176.4,4,4
HOUSTON_8,ngcc,bus_7248,8.0,8.0,4.580024435,2.4000000000000004,3,24.0,560.0,8.0,4,4
HOUSTON_9,ngcc,bus_7170,1189.91,1189.91,4.845924116333332,356.98,3,3569.7300000000005,83293.70000000001,1189.91,4,4
WILLIS,ngcc,bus_7170,542.8,542.8,5.696395846,162.84,3,1628.3999999999999,37996.0,542.8,4,4
SHIRO,ngcc,bus_7170,939.72,939.72,5.059119497,281.92,3,2819.16,65780.40000000001,939.72,4,4
BRYAN,ngcc,bus_7170,225.2,225.2,4.7270440250000005,67.56,3,675.5999999999999,15764.0,225.2,4,4
BAYTOWN_10,ngcc,bus_7208,2069.5,2069.5,5.286601506999999,620.8499999999999,3,6208.5,144865.0,2069.5,4,4
PASADENA_11,ngcc,bus_7208,757.8,757.8,4.8857666462000005,227.33,3,2273.3999999999996,53046.0,757.8,4,4
NEWGULF,ngcc,bus_7069,101.9,101.9,4.782729034,30.57,3,305.70000000000005,7133.0,101.9,4,4
THOMPSONS,ngcc,bus_7353,4786.719999999999,4786.719999999999,5.335275598,1435.76,3,14360.159999999998,335070.39999999997,4786.719999999999,4,4
FAIRFIELD,ngcc,bus_8060,2222.82,2222.82,5.93323800825,666.84,3,6668.460000000001,155597.40000000002,2222.82,4,4
JEWETT,coal,bus_8060,1849.8,1849.8,9.467582653,554.94,4,5549.4,129486.0,610.434,12,12
JACKSONVILLE,coal,bus_8060,713.4,713.4,8.389623103,214.02,4,2140.2,49938.0,235.422,12,12
TRINIDAD,coal,bus_8060,243.3,243.3,8.208516887,72.99000000000001,4,729.9000000000001,17031.0,80.289,12,12
bus_1001_WIND,wind,bus_1001,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_2008_WIND,wind,bus_2008,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_3006_WIND,wind,bus_3006,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_WIND,wind,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4017_WIND,wind,bus_4017,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4040_WIND,wind,bus_4040,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4071_WIND,wind,bus_4071,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5005_WIND,wind,bus_5005,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5007_WIND,wind,bus_5007,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_5262_WIND,wind,bus_5262,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_1001_SOLAR,solar,bus_1001,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_SOLAR,solar,bus_4002,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_6018_SOLAR,solar,bus_6018,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7098_SOLAR,solar,bus_7098,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7127_SOLAR,solar,bus_7127,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_7170_SOLAR,solar,bus_7170,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_8060_SOLAR,solar,bus_8060,100000.0,100000.0,0.0,0.0,0,0.0,0.0,0.0,0,0
bus_4002_HYDRO,hydro,bus_4002,75.6,75.6,0.0,0.0,1,1.0,1.0,75.6,0,0
bus_4040_HYDRO,hydro,bus_4040,31.5,31.5,0.0,0.0,1,1.0,1.0,31.5,0,0
bus_5084_HYDRO,hydro,bus_5084,101.6,101.6,0.0,0.0,1,1.0,1.0,101.6,0,0
bus_5323_HYDRO,hydro,bus_5323,1.3,1.3,0.0,0.0,1,1.0,1.0,1.3,0,0
bus_5385_HYDRO,hydro,bus_5385,41.8,41.8,0.0,0.0,1,1.0,1.0,41.8,0,0
bus_5465_HYDRO,hydro,bus_5465,2.8,2.8,0.0,0.0,1,1.0,1.0,2.8,0,0
bus_6018_HYDRO,hydro,bus_6018,299.1,299.1,0.0,0.0,1,1.0,1.0,299.1,0,0
bus_6147_HYDRO,hydro,bus_6147,10.0,10.0,0.0,0.0,1,1.0,1.0,10.0,0,0
bus_7098_HYDRO,hydro,bus_7098,2.4,2.4,0.0,0.0,1,1.0,1.0,2.4,0,0
